route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,wlot_mvin_perfmd,bd_id,urgent_code,sub_lot,wb_location,automotive,package_id,CR,super_hot_run_code,last_WB_entity,wip_outplan_time
BGA185,R03YZAJ04,ZJP,FBGA-96UEI,096EIYZ001,3000,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},75.98,N,DA,
BGA185,R03YZAJ08,ZJP,FBGA-96UEI,096EIYZ001,2960,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},75.98,N,DA,
BGA185,R03YZAJ12,ZJP,FBGA-96UEI,096EIYZ001,2940,0,2200,Y,Y,AYZ096EI1002A,,17,,,P3T2GF40CBF-Z{YZ},75.98,N,DA,
BGA185,R08YZA401,ZJP,FBGA-96UEI,096EIYZ002,2913,0,2250,N,N,AYZ096EI1001A,6,9,,,P3T4GF40BBF-Z{YZ},72.92999999999999,N,BB599,
BGA185,R09YZA303,ZJP,FBGA-84UC(2),084UCYZ003,5600,0,2250,N,N,AYZ084CC2003A,,7,,,P3R56E40ABF-Z{YZ},73.77,N,BBK29,
BGA185,R09YZA307,ZJP,FBGA-84UC(2),084UCYZ003,184,0,2250,N,N,AYZ084CC2003A,,7,,,P3R56E40ABF-Z{YZ},73.77,N,BBH16,
BGA185,R09YZA503,ZJP,FBGA-84UC(2),084UCYZ003,5596,0,2250,N,N,AYZ084CC2003A,,6,,,P3R56E40ABF-Z{YZ},73.77,N,BBH29,
BGA185,R09YZA601,ZJP,FBGA-84UC(2),084UCYZ003,109,0,2250,N,N,AYZ084CC2003A,,1,,,P3R56E40ABF-G{YZ},73.56,N,BBH34,
BGA185,R09YZA706,ZJP,FBGA-84UC(2),084UCYZ003,1395,0,2250,N,N,AYZ084CC2003A,,6,,,P3R56E40ABF-Z{YZ},73.77,N,BBH66,
BGA185,R09YZA904,ZJP,FBGA-84UC(2),084UCYZ003,5492,0,2250,N,N,AYZ084CC2003A,,6,,,P3R56E40ABF-Z{YZ},73.77,N,BBK29,
BGA185,R08YZA204,ZJP,FBGA-96UEI,096EIYZ001,2792,0,2250,N,N,AYZ096EI1002A,,15,,,P3T2GF40CBF-Z{YZ},73.35,N,BB478,
BGA185,R08YZA402,ZJP,FBGA-96UEI,096EIYZ002,2965,0,2250,N,N,AYZ096EI1001A,6,9,,,P3T4GF40BBF-Z{YZ},72.92999999999999,N,BB599,
BGA185,R09YZA304,ZJP,FBGA-84UC(2),084UCYZ003,5600,0,2250,N,N,AYZ084CC2003A,,7,,,P3R56E40ABF-Z{YZ},73.77,N,BBH16,
BGA185,R09YZA401,ZJP,FBGA-84UC(2),084UCYZ003,143,0,2250,N,N,AYZ084CC2003A,,1,,,P3R56E40ABF-G{YZ},73.56,N,BBH16,
BGA185,R09YZA504,ZJP,FBGA-84UC(2),084UCYZ003,5560,0,2250,N,N,AYZ084CC2003A,,6,,,P3R56E40ABF-Z{YZ},73.77,N,BBH34,
BGA185,R09YZA801,ZJP,FBGA-84UC(2),084UCYZ003,144,0,2250,N,N,AYZ084CC2003A,,1,,,P3R56E40ABF-G{YZ},73.56,N,BBH34,
BGA185,R09YZA905,ZJP,FBGA-84UC(2),084UCYZ003,5450,0,2250,N,N,AYZ084CC2003A,,6,,,P3R56E40ABF-Z{YZ},73.77,N,BBH34,
