¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
563,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI002               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
564,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI016               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
565,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI034               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
566,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI038               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
567,	FCQFN-16OF2D,	ANI016OF2001B       ,	016OFNI032               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
568,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI024               ,	344.74,	2.15,	124.88,	0.00,	0.00,	52.91,
569,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI026               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
570,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI063               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
571,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI084               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
572,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI109               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
573,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI160               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
574,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI181               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
575,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI204               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
576,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI221               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
577,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI232               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
578,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI234               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
579,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI290               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
