Location,Entity,
	TB-B14                   ,	BBD13 ,
	TB-B14                   ,	BBD14 ,
	TB-B14                   ,	BBD15 ,
	TB-B14                   ,	BBD16 ,
	TB-B14                   ,	BBD17 ,
	TB-B14                   ,	BBD20 ,
	TB-B14                   ,	BBD21 ,
	TB-B14                   ,	BBD22 ,
	TB-B14                   ,	BBD23 ,
	TB-B14                   ,	BBD24 ,
	TB-B13                   ,	BBD35 ,
	TB-B13                   ,	BBD36 ,
	TB-B13                   ,	BBD37 ,
	TB-B13                   ,	BBD38 ,
	TB-B13                   ,	BBD39 ,
	TB-B13                   ,	BBD40 ,
	TB-B13                   ,	BBD41 ,
	TB-B13                   ,	BBD42 ,
	TB-B13                   ,	BBD43 ,
	TB-B13                   ,	BBD44 ,
	TB-B11                   ,	BBD48 ,
	TB-B11                   ,	BBD49 ,
	TB-B11                   ,	BBD50 ,
	TB-B11                   ,	BBD51 ,
	TB-B11                   ,	BBD52 ,
	TB-B11                   ,	BBD53 ,
	TB-B11                   ,	BBD54 ,
	TB-B11                   ,	BBD55 ,
	TB-B11                   ,	BBD56 ,
	TB-B11                   ,	BBD57 ,
	TB-B11                   ,	BBD58 ,
	TB-B11                   ,	BBD59 ,
	TB-B13                   ,	BBD60 ,
	TB-B13                   ,	BBD61 ,
	TB-B13                   ,	BBD62 ,
	TB-B13                   ,	BBD63 ,
	TB-B13                   ,	BBD64 ,
	TB-B13                   ,	BBD65 ,
	TB-B13                   ,	BBD66 ,
	TB-B8                    ,	BBD81 ,
	TA-A24                   ,	BBH08 ,
	TA-A24                   ,	BBH09 ,
	TA-A24                   ,	BBH10 ,
	TA-A24                   ,	BBH11 ,
	TA-A24                   ,	BBH12 ,
	TB-B13                   ,	BBD67 ,
	TA-A24                   ,	BBH13 ,
	TA-A24                   ,	BBH14 ,
	TA-A24                   ,	BBH15 ,
	TA-A24                   ,	BBH16 ,
	TA-A24                   ,	BBH17 ,
	TA-A23                   ,	BBH18 ,
	TA-A25                   ,	BBH19 ,
	TA-A25                   ,	BBH20 ,
	TA-A25                   ,	BBH21 ,
	TA-A25                   ,	BBH22 ,
	TA-A25                   ,	BBH23 ,
	TA-A26                   ,	BBH24 ,
	TA-A26                   ,	BBH25 ,
	TA-A26                   ,	BBH26 ,
