ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time
BB841,2960,MAXUM,IDLE,,,,,,AAS096EI2001A,,,22-01-14 12:16,,,,,,,,3000M,TB-B4,,2200,,,R02ASBU13,FBGA-96UEJ,EliteMT,AAS096EI2001A,1091G08PA1,,145.531,129.2679,
BB842,4320,MAXUM,RUNNING,R03VGC110,,2200,008YDVG003,IS25LP032D-JKLE-TR{BD2008,ABU008YD2008A,7040,153143,22-01-14 11:06,22-01-14 17:36,ISSI-VG,DFN-08YD2A,P30871Y1,,1082.5125,,3000M,TB-B4,,2200,1091A08C41,,R02VGAS10,DFN-08YQ2A,ISSI-VG,ABU008YQ2002A,1091A09C41,,1082.5125,961.5418,2022-01-14 17:36:14
BB843,0,MAXUM,RUNNING,R03ABAB16,,2200,008YQAB085,AAG046/IG/W25R256JVEIN{B},AAB008YQ2045A,4320,82907,22-01-14 11:40,22-01-14 22:46,WINBOND,STDFN-08YQ2A,6201M0070,,389.0081,,3000M,TB-B4,,2200,1091A07T21,,R02ABGR12,STDFN-08YQ2A,WINBOND,AAB008YQ2045A,1091A07T21,,389.0081,345.5365,2022-01-14 22:46:40
BB844,0,MAXUM,WAIT-REPAIR,R03ABAC11,,2200,008YQAB085,AAG046/IG/W25R256JVEIN{B},AAB008YQ2045A,4320,82368,22-01-14 15:35,22-01-14 18:20:29,WINBOND,STDFN-08YQ2A,6201M0071,W1,389.0081,,3000,TB-B4,,2200,1091A07T21,,R03ABAB09,STDFN-08YQ2A,WINBOND,AAB008YQ2045A,1091A07T21,,389.0081,345.5365,2022-01-14 18:20:29
BB845,0,MAXUM,RUNNING,R03ABAB12,,2200,008YQAB085,AAG046/IG/W25R256JVEIN{B},AAB008YQ2045A,4320,82907,22-01-14 05:32,22-01-14 16:38,WINBOND,STDFN-08YQ2A,6201M0070,,389.0081,,3000M,TB-B4,,2200,1091A07T21,,R03ABAB07,STDFN-08YQ2A,WINBOND,AAB008YQ2045A,1091A07T21,,389.0081,345.5365,2022-01-14 16:38:21
BB846,2160,MAXUM,RUNNING,R02ABPQ27,,2200,008YQAB046,AAG061/IG/W74M25JWZEIQ{90,AAB008YQ2026A,2160,80505,22-01-14 11:06,22-01-14 15:48,WINBOND,STDFN-08YQ2A,6201M0077,,459.8517,,3000M,TB-B4,,2200,1091A08T21,,R02ABPQ30,STDFN-08YQ2A,WINBOND,AAB008YQ2026A,1091A08T21,,459.8517,408.4633,2022-01-14 15:48:11
BB847,2897,MAXUM,IDLE,,,,,,AAS096EI2001A,,,22-01-14 12:13,,,,,,,,2000M,TB-B4,,2200,,,R02ASBU17,FBGA-96UEJ,EliteMT,AAS096EI2001A,1091G08PA1,,145.531,129.2679,
BB848,4320,MAXUM,PM,R02ABPQ29,,2200,008YQAB046,AAG061/IG/W74M25JWZEIQ{90,AAB008YQ2026A,2160,80505,22-01-14 14:36,22-01-14 18:36,WINBOND,STDFN-08YQ2A,6201M0077,MP,459.8517,,3000M,TB-B4,01/14/2022 MP,2200,1091A08T21,,R02ABPQ31,STDFN-08YQ2A,WINBOND,AAB008YQ2026A,1091A08T21,,459.8517,408.4633,2022-01-14 17:45:55
BB849,0,MAXUM,RUNNING,R02ASBU18,,2200,096EIAS005,M15T1G1664AC1AG{GVEX2},AAS096EI2001A,2920,68952,22-01-13 20:25,22-01-14 16:29,EliteMT,FBGA-96UEJ,P18WY.01,,145.5310,,3000M,TB-B4,01/15/2022 MP,2200,1091G08PA1,,R02ASC211,FBGA-96UEJ,EliteMT,AAS096EI2001A,1091G08PA1,,145.531,129.2679,2022-01-14 16:29:45
BB850,8320,MAXUM,RUNNING,R02VGB423,,2200,008Y6VG008,IS25WP032E-JTLI-TR{Rough},ABU008Y62011A,8320,323250,22-01-14 09:02,22-01-14 15:25,ISSI-VG,DFN-08Y62D,P30897Y1,,1305.0184,,3000M,TB-B4,01/15/2022 MP,2200,1091A07C41,,R02VGB434,DFN-08Y62D,ISSI-VG,ABU008Y62011A,1091A07C41,,1237.7166,1099.4018,2022-01-14 15:25:02
