lot_number,oper,cust,pin_pkg,prod_id,qty,part_id,part_no,bd_id,entity,start_time,end_time
R23ABFG08,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB882,2022-06-06 08:06:00,2022-06-06 14:12:47
R23ABFG07,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB882,2022-06-06 14:12:47,2022-06-06 20:19:35
R23ABFG14,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB882,2022-06-06 20:19:35,2022-06-07 02:26:23
R23ABFG06,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB882,2022-06-07 02:26:23,2022-06-07 08:33:10
R23ABFG13,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB882,2022-06-07 08:33:10,2022-06-07 14:39:58
R23ABFG05,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB882,2022-06-07 14:39:58,2022-06-07 20:46:46
R23ABFG04,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB882,2022-06-07 20:46:46,2022-06-08 02:53:33
R23ABFK11,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB882,2022-06-08 02:53:33,2022-06-08 09:00:21
R23ABFK02,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB882,2022-06-08 09:00:21,2022-06-08 15:07:09
R23ABFK16,2200,WINBOND,DFN-08YQ3AW,008YQAB122,1299,1091A07T21,A0803CB1341,AAB008YQ3028A,BB882,2022-06-08 15:07:09,2022-06-08 16:32:14
R23ABFK14,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB882,2022-06-08 16:32:14,2022-06-08 22:39:02
