,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans
166,AAW016D53004A,AMS078EP1001A,-95.0,BBR32,"MC,CSC",R22AWAP05,R23MSKH01,BBR32_1,-269.0,2022-06-06 03:37:00,2022-06-06 06:31:00
167,AAW016D53004A,AMS078EP1001A,174.0,BBR33,"MC,CSC",R22AWAP16,R23MSKN03,BBR33_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
168,AAW016D53004A,AMS078EP1001A,174.0,BBR34,"MC,CSC",R22AWAP02,R23MSKM04,BBR34_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
169,AAW016D53004A,ANV132X2C057A,294.0,BBR37,"EU,MC,CSC",R22AWAP20,R23NVA802,BBR37_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
170,AAW016D53004A,ANV132X2C057A,294.0,BBR41,"EU,MC,CSC",R22AWA205,R23NVA839,BBR41_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
171,AAW016D53004A,ANV132X2C057A,294.0,BBR43,"EU,MC,CSC",R22AWAI16,R23NVA846,BBR43_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
172,AAW016D53004A,AMS078EP1001A,174.0,BBR44,"MC,CSC",R22AWAI23,R23MSKH02,BBR44_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
173,AAW016D53004A,ANV132X2C057A,294.0,BBR45,"EU,MC,CSC",R22AWAI13,R23NVA845,BBR45_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
174,AAW016D53004A,ANV132X2C057A,294.0,BBR50,"EU,MC,CSC",R22AWAP06,R23NVA847,BBR50_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
175,AAW016D53004A,ANV132X2C057A,294.0,BBR51,"EU,MC,CSC",R22AWAG11,R23NVA817,BBR51_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
176,AAW016D53004A,AMS078EP1001A,174.0,BBR52,"MC,CSC",R22AWAI08,R23MSKN01,BBR52_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
177,AAW016D53004A,AMS078EP1001A,174.0,BBR60,"MC,CSC",R22AWAP07,R23MSKS03,BBR60_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
178,AAW016D53004A,AMS078EP1001A,174.0,BBR62,"MC,CSC",R22AWAI26,R23MSKL02,BBR62_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
179,AAW016D53004A,AMS078EP1001A,174.0,BBR65,"MC,CSC",R22AWAG24,R23MSKS01,BBR65_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
180,AAW016D53004A,ANV132X2C057A,294.0,BBR70,"EU,MC,CSC",R22AWAG07,R23NVA828,BBR70_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
181,AAW016D53004A,ANV132X2C057A,294.0,BBR72,"EU,MC,CSC",R22AWAG16,R23NVA805,BBR72_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
182,AAW016D53004A,ANV132X2C057A,294.0,BBR73,"EU,MC,CSC",R21AWBC21,R23NVA831,BBR73_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
183,AAW016D53004A,ANV132X2C057A,294.0,BBR74,"EU,MC,CSC",R22AWAP08,R23NVA843,BBR74_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
184,AAW016D53004A,AMS078EP1001A,174.0,BBR76,"MC,CSC",R22AWAP04,R23MSKL03,BBR76_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
185,AAW016D53004A,ANV132X2C057A,294.0,BBR77,"EU,MC,CSC",R22AWAI02,R23NVA835,BBR77_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
186,AAW016D53004A,AMS078EP1001A,174.0,BBR78,"MC,CSC",R22AWAP01,R23MSKL01,BBR78_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
187,AAW016D53004A,AMS096EC1002A,174.0,BBR79,"MC,CSC",R22AWAI04,R23MSLZ04,BBR79_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
188,AAW016D53004A,AMS078EP1001A,174.0,BBR82,"MC,CSC",R22AWAG26,R23MSKS02,BBR82_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
189,AAW016D53004A,ANV132X2C057A,294.0,BBR84,"EU,MC,CSC",R22AWAI17,R23NVA829,BBR84_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
190,AAW016D53004A,ANV132X2C057A,294.0,BBR87,"EU,MC,CSC",R22AWAG17,R23NVA823,BBR87_1,0.0,2022-06-06 08:06:00,2022-06-06 13:00:00
191,AAW016D53004A,AMS078EP1001A,174.0,BBR89,"MC,CSC",R22AWAI03,R23MSKN04,BBR89_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
192,ANV153XT8010A,ANV0086A1078A,174.0,BBS01,"MC,CSC",R22NVYK05,R21NVXM31,BBS01_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
193,ANV153XT8010A,ANI020YU1005C,174.0,BBS04,"MC,CSC",R22NVYK09,R23NIH503,BBS04_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
194,ANV153XT8010A,ANI020YU1005C,174.0,BBS05,"MC,CSC",R22NVYK04,R23NIH502,BBS05_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
