wrto_route,wrto_oper,wrto_seq_num,wrto_opr_shrt_desc
BGA257,2210,16,3IP
BGA257,2250,17,PLASMA
BGA257,2230,18,M/D QUEUE
BGA257,2300,19,M/D
BGA257,2320,20,T/M
BGA257,6000,21,WTC2
BGA257,2330,22,PMC
BGA257,2405,23,PLASMA
BGA257,2418,24,WTC
BGA257,2410,25,S/P
BGA257,2430,26,F/S
BGA257,2435,27,P/P
BGA257,2440,28,O/S
BGA257,2450,29,L/S
BGA257,2460,30,F/V
BGA257,2470,31,4IP
BGA257,2480,32,PACK
BGA257,2490,33,SHIP
BGA270,2000,1,IQC
BGA270,2430,2,F/S
BGA270,2435,3,P/P
BGA270,2480,4,PACK
BGA28,2000,1,IQC
BGA28,2003,2,TPM
BGA28,2005,3,TAPING
BGA28,2010,4,LAPPING
BGA28,2020,5,A21 QUEUE
BGA28,2030,6,W/M
BGA28,2040,7,D/S
BGA28,2050,8,A31
BGA28,2060,9,2IP
BGA28,2061,10,UV
BGA28,2070,11,D/A
BGA28,2080,12,D/A CURE
BGA28,2150,13,PLASMA
BGA28,2090,14,POST D/A Q
BGA28,2200,15,W/B
BGA28,2205,16,A41
BGA28,2210,17,3IP
BGA28,2250,18,PLASMA
BGA28,2230,19,M/D QUEUE
BGA28,2300,20,M/D
BGA28,2330,21,PMC
BGA28,2320,22,T/M
BGA28,2405,23,PLASMA
BGA28,2410,24,S/P
BGA28,2430,25,F/S
BGA28,2440,26,O/S
BGA28,2450,27,L/S
BGA28,2460,28,F/V
BGA28,2470,29,4IP
BGA28,2480,30,PACK
BGA28,2490,31,SHIP
BGA289,2000,1,IQC
BGA289,2003,2,TPM
BGA289,2005,3,TAPING
BGA289,2010,4,LAPPING
BGA289,2020,5,A21 QUEUE
BGA289,2030,6,W/M
BGA289,2040,7,D/S
BGA289,2050,8,A31
BGA289,2060,9,2IP
BGA289,2070,10,D/A
BGA289,2080,11,D/A CURE
BGA289,2150,12,PLASMA
BGA289,2090,13,POST D/A Q
BGA289,2200,14,W/B
BGA289,2205,15,A41
BGA289,2209,16,BMP
BGA289,2210,17,3IP
BGA289,2250,18,PLASMA
BGA289,2230,19,M/D QUEUE
BGA289,2300,20,M/D
BGA289,2320,21,T/M
BGA289,6000,22,WTC2
BGA289,2330,23,PMC
BGA289,2430,24,F/S
BGA289,2435,25,P/P
BGA289,2450,26,L/S
BGA289,2460,27,F/V
BGA289,2470,28,4IP
BGA289,2480,29,PACK
BGA289,2490,30,SHIP
BGA324,2000,1,IQC
BGA324,2003,2,TPM
BGA324,2005,3,TAPING
BGA324,2010,4,LAPPING
BGA324,2020,5,A21 QUEUE
BGA324,2030,6,W/M
BGA324,2040,7,D/S
BGA324,2050,8,A31
BGA324,2060,9,2IP
BGA324,2070,10,D/A
BGA324,2080,11,D/A CURE
BGA324,2150,12,PLASMA
BGA324,2090,13,POST D/A Q
BGA324,2200,14,W/B
BGA324,2205,15,A41
BGA324,2209,16,BMP
BGA324,2210,17,3IP
BGA324,2225,18,F/C
BGA324,2250,19,PLASMA
BGA324,2230,20,M/D QUEUE
BGA324,2300,21,M/D
BGA324,2320,22,T/M
BGA324,6000,23,WTC2
BGA324,2330,24,PMC
BGA324,2405,25,PLASMA
BGA324,2410,26,S/P
BGA324,2430,27,F/S
BGA324,2435,28,P/P
BGA324,2440,29,O/S
BGA324,2450,30,L/S
BGA324,2460,31,F/V
BGA324,2470,32,4IP
BGA324,2480,33,PACK
BGA324,2490,34,SHIP
BGA326,2000,1,IQC
BGA326,2003,2,TPM
BGA326,2005,3,TAPING
BGA326,2010,4,LAPPING
BGA326,2020,5,A21 QUEUE
BGA326,2030,6,W/M
BGA326,2040,7,D/S
BGA326,2050,8,A31
BGA326,2056,9,AOI
BGA326,2059,10,AOIR
BGA326,2060,11,2IP
