pkg_type,process_id,version,detail_id,remark,
	T,	008YD107       ,	 F,	S22000102,	A0803CB0635(KNS)                        ,
	T,	008YQ146       ,	 I,	S22000102,	A0803CB1174(KNS)                        ,
	T,	024MA181       ,	 D,	S22000102,	A0801CB1057(UTC)                        ,
	T,	008YQ128       ,	 F,	S22000102,	A0803CB1050(KNS)                        ,
	T,	024XJ074       ,	 D,	S22000102,	A0801CB1129 (UTC)                       ,
	T,	024XJ074       ,	 D,	S22000102,	A0803CB1129 (KNS)                       ,
	T,	024XJ074       ,	 D,	S32000102,	A0801CB1129 (UTC)                       ,
	T,	024XJ074       ,	 D,	S32000102,	A0803CB1129 (KNS)                       ,
	T,	008YD088       ,	 G,	S22000102,	A0803CB0635(KNS)                        ,
	T,	096EI023       ,	 D,	S22000102,	A0801CB1277(UTC)                        ,
	T,	060NR038       ,	 H,	S22000102,	A0801CB0745(UTC)                        ,
	T,	060NR038       ,	 H,	S22000102,	A0803CB0745(KNS)                        ,
	T,	060NR037       ,	 C,	S22000102,	A0801CB0745(UTC)                        ,
	T,	060NR037       ,	 C,	S22000102,	A0803CB0745(KNS)                        ,
	T,	008YB031       ,	 J,	S22000102,	A0803CB0783 (KNS)                       ,
	T,	054NR004       ,	 D,	S22000102,	A0801CB0745(UTC)                        ,
