ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB897,MAXUM,IDLE,,,,ABW064AE1011A,,22-02-15 17:42,,,,,,,R05BWD211,QFN-64AE1,AKM,ABW064AE1011A,1091A07C21,173.7568,,2200
BB898,MAXUM,RUNNING,R07ASB710,2200,096ELAS001,AAS096EL1002A,22-02-16 15:55,22-02-15 20:57,EliteMT,FBGA-96UEL-3,2891,,,,R07ASAJ07,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 15:55,2200
BB899,MAXUM,RUNNING,R07VGA522,2200,008YQVG006,ABU008YQ2002A,22-02-16 09:58,22-02-16 05:06,ISSI-VG,DFN-08YQ2A,4320,,1091A09C41,,R07VGA524,DFN-08YQ2A,ISSI-VG,ABU008YQ2002A,1091A09C41,885.7602,22-02-16 09:58,2200
BB900,MAXUM,RUNNING,R07VGA506,2200,008YQVG006,ABU008YQ2002A,22-02-16 08:21,22-02-16 03:29,ISSI-VG,DFN-08YQ2A,4320,,1091A09C41,,R07VGAZ12,DFN-08YQ2A,ISSI-VG,ABU008YQ2002A,1091A09C41,885.7602,22-02-16 08:21,2200
BB901,MAXUM,RUNNING,R07ABG707,2200,008YQAB082,AAB008YQ2041A,22-02-16 09:27,22-02-16 03:20,WINBOND,STDFN-08YQ2A,2160,,1091A09C21,,R07ABG701,STDFN-08YQ2A,WINBOND,AAB008YQ2041A,1091A09C21,352.6435,22-02-16 09:27,2200
BB902,MAXUM,RUNNING,R07VGA523,2200,008YQVG006,ABU008YQ2002A,22-02-16 07:49,22-02-16 02:56,ISSI-VG,DFN-08YQ2A,4320,,1091A09C41,,R07VGA205,DFN-08YM2D,ISSI-VG,ABU008YM2002A,1091A08C41,885.7602,22-02-16 07:49,2200
BB903,MAXUM,RUNNING,R07ASD606,2200,008FGAS005,AAS008FG1010A,22-02-16 10:00,22-02-16 01:00,EliteMT,SOP-8G,10080,,1091G08PA4,,R07ASD603,SOP-8G,EliteMT,AAS008FG1010A,1091G08PA4,1120.851,22-02-16 10:00,2200
BB904,MAXUM,RUNNING,R07ABEA11,2200,008YQAB112,AAB008YQ3012A,22-02-16 12:26,22-02-15 23:19,WINBOND,STDFN08YQ3AW,5600,,1091A07T21,,R07ABEA09,STDFN08YQ3AW,WINBOND,AAB008YQ3012A,1091A07T21,426.6757,22-02-16 12:26,2200
BB905,MAXUM,RUNNING,R07ABG715,2200,008YQAB082,AAB008YQ2041A,22-02-16 11:55,22-02-16 05:48,WINBOND,STDFN-08YQ2A,2160,,1091A09C21,,R07ABG704,STDFN-08YQ2A,WINBOND,AAB008YQ2041A,1091A09C21,352.6435,22-02-16 11:55,2200
BB906,MAXUM,RUNNING,R07ABG705,2200,008YQAB082,AAB008YQ2041A,22-02-16 10:36,22-02-16 04:28,WINBOND,STDFN-08YQ2A,2160,,1091A09C21,,R07ABG703,STDFN-08YQ2A,WINBOND,AAB008YQ2041A,1091A09C21,352.6435,22-02-16 10:36,2200
