¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
478,	WLCSP       ,	                    ,	000IAQR004               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
479,	WLCSP       ,	                    ,	000IAQR014               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
480,	MBGA24J3U   ,	ABU024MA6002B       ,	024MABU002               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
481,	TSOP1-48/48M,	ABU048TP2002B       ,	048TPBU012               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
482,	MINIBGA54A4 ,	BU054MF1002A        ,	054MFBU004               ,	17.46,	0.00,	37.38,	0.00,	0.00,	0.00,
483,	VFBGA54B4L  ,	ABU054NO2009A       ,	054NOBU012               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
484,	FBGAS-96UEF7,	ABU096EF5001A       ,	096EFBU003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
485,	FBGA-126UCT ,	ABU126CT2001B       ,	126CTBU001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
486,	MAT         ,	                    ,	0008WVG019               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
487,	DFN-08Y62D  ,	ABU008Y62011A       ,	008Y6VG008               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
488,	DFN-08YD2A  ,	ABU008YD2005A       ,	008YDVG012               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
489,	STBGA24D4U  ,	ABU024XJ8004A       ,	024XJVG008               ,	0.00,	0.00,	8.90,	0.00,	0.00,	0.00,
490,	TSOP1-48AM  ,	AMS048TW1058A       ,	048TWMS068               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
491,	TSOP1-48AM  ,	AMS048TW1072A       ,	048TWMS093               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
492,	TSOP1-48AM  ,	AMS048TW1036A       ,	048TWMS097               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
493,	FBGA-96UEC  ,	AMS096EC1002A       ,	096ECMS003               ,	281.30,	11.19,	238.73,	5.60,	0.00,	22.81,
494,	FBGA-78UEP  ,	ALW078EP1001A       ,	078EPLW009               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
495,	VFBGA132B4U ,	ALW132NY4039A       ,	132NYLW077               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
496,	SSLGA16DOU  ,	AAW016D53018A       ,	016D5AW043               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
497,	MINIBGA24A3L,	AAW024MA6015B       ,	024MAAW028               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
498,	MBGA24J3U   ,	AAW024MAA006A       ,	024MAAW083               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
499,	MAT         ,	                    ,	0008WNV533               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
500,	MAT         ,	                    ,	0008WNV536               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
501,	uSD08AQV-C  ,	ANV0086A1065A       ,	0086ANV161               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
502,	STBGA132G4VT,	ANV132X2C034A       ,	132X2NV154               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
503,	SSBGA132G4U ,	ANV132X2A023A       ,	132X2NV201               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
504,	STBGA345SBC ,	ANV345XTB026A       ,	345XTNV084               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
505,	FBGA-96UEI  ,	AQB096EI1001A       ,	096EIQB001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
506,	WLCSP       ,	                    ,	000IAVT005               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
507,	uSD08GEV    ,	AEU0086A1001A       ,	0086AEU004               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
508,	uSD08GEV-C  ,	AEU0086B1007A       ,	0086BEU016               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
509,	DFN-08Y62D  ,	AAB008Y62010A       ,	008Y6AB024               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
510,	DFN-08YB2G  ,	AAB008YB2007A       ,	008YBAB016               ,	14.72,	0.00,	14.72,	0.00,	0.00,	0.00,
511,	STDFN-08YQ2A,	AAB008YQ2004A       ,	008YQAB031               ,	24.69,	0.00,	0.00,	0.00,	0.00,	0.00,
512,	DFN-08YQ2A  ,	AAB008YQ2022A       ,	008YQAB072               ,	45.20,	0.00,	36.51,	0.00,	0.00,	2.16,
513,	MBGA24J3U   ,	AAB024MA6021A       ,	024MAAB089               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
514,	TSOP2-54ME  ,	AAB054TN1005A       ,	054TNAB041               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
515,	QFN-32YF1A  ,	ABW032YF1002B       ,	032YFBW024               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
516,	QFN-48AC1   ,	ABW048AC1009A       ,	048ACBW026               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
517,	SSBGA24A3L  ,	AQW024MA6002A       ,	024MAQW007               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
518,	MAT         ,	,	0008WLF001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
519,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI044               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
520,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI057               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
521,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI061               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
522,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI093               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
