el_key,el_customer,el_entity_model,el_entity_oper,el_entity_group,el_check_value,el_action
RESTRAINED-ENTITY,ETRON,DFG8761,2010,APW10,EH0E05FVC00B-NN-H-AS-0000{Post},R
RESTRAINED-ENTITY,ETRON,DFG8761,2010,APW10,EH0E05FVC00D-NC-H-DP-AB10{Pre},R
RESTRAINED-ENTITY,ETRON,DFG8761,2010,APW10,EH0E05FVCXXB-XX-XXH,R
RESTRAINED-ENTITY,ETRON,DFG8761,2010,APW10,EH0F04FVC00B-NL-H-AS-0000{Pre},R
RESTRAINED-ENTITY,ETRON,DFG8761,2010,APW10,EH0T01FBD000-NL-H-AS-0000{Pre},R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,EH2602FBD00CINK-ENG,R
RESTRAINED-ENTITY,ETRON,DFG8761,2010,APW10,EH2602FVC00E-NL-H-DP-0000{Pre},R
RESTRAINED-ENTITY,ETRON,DFG8761,2010,APW10,EH2703FVC00B-NL-H-AS-000C{Pre},R
RESTRAINED-ENTITY,ETRON,DFG8761,2010,APW10,EH3101FVC00B-NL-H-DP-000C{Pre},R
RESTRAINED-ENTITY,ETRON,DFG8761,2010,APW10,EH3102FVCxxD-xx-xxH,R
RESTRAINED-ENTITY,EliteMT,DFG8761,2010,APW10,EN25Q80BY1HM{M9ZF4-ENG3},R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,EN25Q80BY1HM{M9ZF4-ENG4}-ENG,R
RESTRAINED-ENTITY,EliteMT,DFG8761,2010,APW10,F50D2G41KAV1AM{M9ZFA},R
RESTRAINED-ENTITY,PHISON,DB800*,2130,BAA*,30-P0NA0HP323{700},R
RESTRAINED-ENTITY,PHISON,DB830*,2130,BAB*,30-P0NA0HP323{700},R
RESTRAINED-ENTITY-DeviceID,NOVATEK,ICA*,2036,EG206,*NB01860A*,R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,F50D2G41KAV1AM{M9ZFA}-ENG,R
RESTRAINED-ENTITY,EliteMT,DFG8761,2010,APW10,F50L2G41KAV1AM{M9ZFA},R
RESTRAINED-ENTITY,EliteMT,DFG8761,2010,APW10,F50L2G41LBM1AM{M9ZFK-125-7125-EG},R
RESTRAINED-ENTITY,EliteMT,DFG8761,2010,APW10,F59D4G81KAR1AG{GBNFA-85},R
RESTRAINED-ENTITY,EliteMT,DFG8761,2010,APW10,F59D8G81KSAR1AG{GBNFA},R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,F59D8G81KSAR1AG{GBNFA}-ENG,R
RESTRAINED-ENTITY,EliteMT,DFG8761,2010,APW10,F59D8G81XBX1CG{GBNFA},R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,F59L2G81MBM1AG{GBNFA}-Al-ENG,R
RESTRAINED-ENTITY,TEAMGROUP,DFG8761,2010,APW10,FH4TTLB0600440003,R
RESTRAINED-ENTITY,TEAMGROUP,DFG8761,2010,APW10,FH4TTLB0600440003{HR400},R
RESTRAINED-ENTITY,TEAMGROUP,DFG8761,2010,APW10,FH8TTLB0600880003,R
RESTRAINED-ENTITY,TEAMGROUP,DFG8761,2010,APW10,FS1TTGB0600440000{23A-DB700},R
RESTRAINED-ENTITY,TEAMGROUP,DFG8761,2010,APW10,FS1TTGB0600440000{26A-DB700},R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS21ES08G-JCLI-AS{BUMP},R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,IS21ES08G-JCLI{R}-ENG,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS21ES16G-JCLI-AS,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS21ES32G-JCLI{BUMP},R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,IS21ES64G-JCLI-AS-ENG1,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS22ES04G-JQLA1,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS22ES08G-JCLA1-AS,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS22ES32G-JCLA1-AS,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS25LP01G-RILE-AS{U},R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS25LP032D-JTLA3-AS,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS25LP032D-JTLA3-TR,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS25LP064A-JTLA3-TR,R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,IS25LP064A-JTLE-TR-ENG,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS25LP512M-RGLE-AS,R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,IS25LP512M-RGLE-AS-ENG,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS25LQ032B-JTLA3-AS,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS25LX512M-JHLA3,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS25LX512M-UHLA3,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS25RLP128F-QKLI-AS,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS25RLP256E-QJLI-AS,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS25WP512M-RHLA3{U},R
RESTRAINED-ENTITY,ENG,DFG8761,2010,APW10,IS25WQ020-JULE-TR-ENG,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS25WX512M-UHLE,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS34ML02G084-TLI-AS,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS34MW04G084A-TLI-AS,R
RESTRAINED-ENTITY,ISSI-VG,DFG8761,2010,APW10,IS35ML02G081-TLA1-AS,R
